series,n_events,n_clean,zero_yes,one_yes,multi_yes,n_scalar,multi_yes_upper95,zero_yes_upper95
KXSCOTTISHPREMTOTAL,12,12,1,4,7,0,0.819,0.3387
KXSERIEA1H,41,41,0,41,0,0,0.0705,0.0705
KXSERIEA1HSCORE,31,31,0,31,0,0,0.0921,0.0921
KXSERIEA1HSPREAD,12,12,10,2,0,0,0.2209,0.9695
KXSERIEA2H,31,31,0,31,0,0,0.0921,0.0921
KXSERIEA2HSPREAD,12,12,10,2,0,0,0.2209,0.9695
KXSERIEABTTS,12,12,2,10,0,0,0.2209,0.4381
KXSERIEASCORE,41,41,1,40,0,0,0.0705,0.1106
KXSERIEASPREAD,12,12,9,3,0,0,0.2209,0.9281
KXSERIEATEAMTOTAL,12,12,0,1,11,0,0.9957,0.2209
KXSERIEATOTAL,12,12,0,1,11,0,0.9957,0.2209
KXSERIEBGAME,41,41,0,41,0,0,0.0705,0.0705
KXSERIEBSPREAD,12,12,8,3,1,0,0.3387,0.8771
KXSERIEBTOTAL,12,12,0,3,9,0,0.9281,0.2209
KXSERIECCUPADVANCE,45,44,0,44,0,1,0.0658,0.0658
KXSERIECCUPSPREAD,12,11,6,0,5,1,0.7288,0.8004
KXSERIECCUPTOTAL,12,11,1,2,8,1,0.9212,0.3644
KXSERIECGAME,60,60,0,60,0,0,0.0487,0.0487
KXSERIECSPREAD,12,12,9,2,1,0,0.3387,0.9281
KXSERIECTOTAL,12,12,3,0,9,0,0.9281,0.5273
KXSGPPLSPREAD,5,5,2,1,2,0,0.8107,0.8107
KXSHIBA,60,60,0,60,0,0,0.0487,0.0487
KXSILVER15M,12,12,6,6,0,0,0.2209,0.7547
KXSILVERD,12,12,0,0,12,0,1.0,0.2209
KXSILVERH,12,12,0,0,12,0,1.0,0.2209
KXSLGREECESPREAD,12,12,4,7,1,0,0.3387,0.6091
KXSLGREECETOTAL,12,12,1,1,10,0,0.9695,0.3387
KXSOFRD,31,31,8,23,0,0,0.0921,0.4177
KXSOL15M,12,12,7,5,0,0,0.2209,0.819
KXSOLD,12,12,0,0,12,0,1.0,0.2209
KXSOLE,12,12,0,12,0,0,0.2209,0.2209
KXSPEECHAI,6,6,0,6,0,0,0.393,0.393
KXSRBSLGAME,36,36,0,36,0,0,0.0798,0.0798
KXSRBSLSPREAD,12,12,9,2,1,0,0.3387,0.9281
KXSRBSLTOTAL,12,12,1,1,10,0,0.9695,0.3387
KXSUEZWEEKLY,7,7,0,1,6,0,0.9927,0.3482
KXSUPERLIGSPREAD,12,12,7,2,3,0,0.5273,0.819
KXSUPERLIGTOTAL,12,12,2,3,7,0,0.819,0.4381
KXSVK2LGAME,41,41,0,41,0,0,0.0705,0.0705
KXSVK2LTOTAL,12,12,1,3,8,0,0.8771,0.3387
KXSVKCUPADVANCE,60,49,0,49,0,11,0.0593,0.0593
KXSVKCUPGAME,60,49,0,49,0,11,0.0593,0.0593
KXSVKCUPSPREAD,12,12,5,3,4,0,0.6091,0.6848
KXSVKCUPTOTAL,12,12,1,0,11,0,0.9957,0.3387
KXSVNPLBTTS,12,12,5,7,0,0,0.2209,0.6848
KXSVNPLSPREAD,12,12,6,3,3,0,0.5273,0.7547
KXSVNPLTOTAL,12,12,1,1,10,0,0.9695,0.3387
KXSWISSLEAGUETOTAL,12,11,0,2,9,1,0.9667,0.2384
KXT20MATCH,60,59,0,59,0,1,0.0495,0.0495
KXTACAPORTTOTAL,12,12,1,1,10,0,0.9695,0.3387
KXTEMPAUSH,12,12,0,0,12,0,1.0,0.2209
KXTEMPCHIH,12,12,0,0,12,0,1.0,0.2209
KXTEMPCHIHS,12,12,0,0,12,0,1.0,0.2209
KXTEMPDCH,12,12,0,0,12,0,1.0,0.2209
KXTEMPLAXH,12,12,0,0,12,0,1.0,0.2209
KXTEMPLAXHS,12,12,0,0,12,0,1.0,0.2209
KXTEMPMIAH,12,12,0,0,12,0,1.0,0.2209
KXTEMPNYCH,12,12,0,1,11,0,0.9957,0.2209
KXTFF1LIGGAME,60,60,0,60,0,0,0.0487,0.0487
KXTFF1LIGSPREAD,12,12,10,0,2,0,0.4381,0.9695
KXTFF1LIGTOTAL,12,12,0,2,10,0,0.9695,0.2209
KXTHAIL1GAME,17,17,0,17,0,0,0.1616,0.1616
KXTHAIL1SPREAD,12,12,10,1,1,0,0.3387,0.9695
KXTHAIL1TOTAL,12,12,0,3,9,0,0.9281,0.2209
KXTITLEDTUESDAY,10,10,2,8,0,0,0.2589,0.5069
KXTITLEDTUESTOP,12,12,0,0,12,0,1.0,0.2209
KXTOPSONG,10,10,0,10,0,0,0.2589,0.2589
KXTRUEV,12,12,0,0,12,0,1.0,0.2209
KXTRUMPAPPROVE,17,17,0,17,0,0,0.1616,0.1616
KXTRUMPENDORSEMENTS,9,9,2,0,7,0,0.959,0.5496
KXTRUMPMENTION,11,11,0,0,11,0,1.0,0.2384
KXTRUMPMENTIONB,12,12,0,0,12,0,1.0,0.2209
KXTRUMPSAY,9,9,0,0,9,0,1.0,0.2831
KXTTELITEMATCH,60,60,0,60,0,0,0.0487,0.0487
KXTTSTARMATCH,60,60,0,60,0,0,0.0487,0.0487
KXTWEEDEDIVGAME,45,44,0,44,0,1,0.0658,0.0658
KXTWEEDEDIVSPREAD,12,11,6,3,2,1,0.4701,0.8004
KXTWEEDEDIVTOTAL,12,11,0,0,11,1,1.0,0.2384
KXTXERCOTPEAKD,12,12,0,0,12,0,1.0,0.2209
KXUAEPLGAME,35,35,0,35,0,0,0.082,0.082
KXUAEPLSPREAD,12,12,11,1,0,0,0.2209,0.9957
KXUAEPLTOTAL,12,12,1,3,8,0,0.8771,0.3387
KXUCL1HTOTAL,12,12,3,2,7,0,0.819,0.5273
KXUCL2H,18,18,0,18,0,0,0.1533,0.1533
KXUCL2HBTTS,12,12,8,4,0,0,0.2209,0.8771
KXUCL2HTOTAL,12,12,1,5,6,0,0.7547,0.3387
KXUCLCORNERS,7,7,2,1,4,0,0.8712,0.6587
KXUCLFIRSTGOAL,12,11,0,11,0,1,0.2384,0.2384
KXUCLFTTS,18,18,0,18,0,0,0.1533,0.1533
KXUCLGAME,60,60,0,60,0,0,0.0487,0.0487
KXUCLGOAL,12,11,0,1,10,1,0.9953,0.2384
KXUCLSCORE,7,7,0,7,0,0,0.3482,0.3482
KXUCLTEAMTOTAL,12,12,0,1,11,0,0.9957,0.2209
KXUCLTOTAL,12,12,0,1,11,0,0.9957,0.2209
KXUCLWGAME,60,60,0,60,0,0,0.0487,0.0487
KXUCLWSPREAD,12,12,6,2,4,0,0.6091,0.7547
KXUCLWTOTAL,12,12,0,1,11,0,0.9957,0.2209
KXUFCFIGHT,60,57,0,57,0,3,0.0512,0.0512
KXUFCMOF,60,60,0,60,0,0,0.0487,0.0487
KXUFCMOV,60,60,0,60,0,0,0.0487,0.0487
KXUFCROUNDS,12,12,7,1,4,0,0.6091,0.819
KXUFCVICROUND,60,60,0,60,0,0,0.0487,0.0487
KXURYPDSPREAD,12,12,9,3,0,0,0.2209,0.9281
KXUSDCADAD,12,12,0,0,12,0,1.0,0.2209
KXUSDCADAW,8,8,0,0,8,0,1.0,0.3123
KXUSDCHFAW,8,8,0,0,8,0,1.0,0.3123
KXUSDINRAD,12,12,0,0,12,0,1.0,0.2209
KXUSDJPY,12,12,0,12,0,0,0.2209,0.2209
KXUSDJPYAW,8,8,4,0,4,0,0.8071,0.8071
KXUSDNOKAD,12,12,0,0,12,0,1.0,0.2209
KXUSDNOKAW,8,8,3,1,4,0,0.8071,0.7108
KXUSL1H,60,60,0,60,0,0,0.0487,0.0487
KXUSL1HBTTS,12,12,11,1,0,0,0.2209,0.9957
KXUSL1HTOTAL,12,12,1,8,3,0,0.5273,0.3387
KXUSLCUP1HBTTS,6,6,5,1,0,0,0.393,0.9915
KXUSLCUPGAME,6,6,0,6,0,0,0.393,0.393
KXUSLSPREAD,12,12,6,3,3,0,0.5273,0.7547
KXUST10AD,12,12,0,0,12,0,1.0,0.2209
KXUST30A,9,9,0,0,9,0,1.0,0.2831
KXUST30AD,12,12,0,0,12,0,1.0,0.2209
KXUST5AD,12,12,0,0,12,0,1.0,0.2209
KXUST7AD,12,12,0,0,12,0,1.0,0.2209
KXVALORANTGAME,60,59,0,59,0,1,0.0495,0.0495
KXVALORANTMAP,60,60,0,60,0,0,0.0487,0.0487
KXVALORANTTOTALMAPS,12,12,5,7,0,0,0.2209,0.6848
KXVANCEMENTION,11,11,0,0,11,0,1.0,0.2384
KXVENFUTVEGAME,60,34,0,34,0,26,0.0843,0.0843
KXVENFUTVETOTAL,12,12,0,4,8,0,0.8771,0.2209
KXVFILMFESTIVAL,6,6,0,6,0,0,0.393,0.393
KXVLEAGUE1GAME,14,14,0,14,0,0,0.1926,0.1926
KXVLEAGUE1SPREAD,12,12,6,3,3,0,0.5273,0.7547
KXWFIBAGAME,36,36,0,36,0,0,0.0798,0.0798
KXWFIBASPREAD,12,12,1,1,10,0,0.9695,0.3387
KXWFIBATOTAL,12,12,0,0,12,0,1.0,0.2209
KXWORLDNEWSMENTION,12,12,0,0,12,0,1.0,0.2209
KXWT20MATCH,57,57,0,57,0,0,0.0512,0.0512
KXWTA,10,10,0,10,0,0,0.2589,0.2589
KXWTACHALLENGERMATCH,60,58,0,58,0,2,0.0503,0.0503
KXWTADOUBLES,60,58,0,58,0,2,0.0503,0.0503
KXWTAEXACTMATCH,60,60,0,60,0,0,0.0487,0.0487
KXWTAGTOTAL,12,11,3,5,3,1,0.5644,0.5644
KXWTAMATCH,60,54,0,54,0,6,0.054,0.054
KXWTASETWINNER,60,58,0,58,0,2,0.0503,0.0503
KXWTI,12,12,0,0,12,0,1.0,0.2209
KXWTI15M,12,12,5,7,0,0,0.2209,0.6848
KXWTIH,12,12,0,0,12,0,1.0,0.2209
KXWTIW,9,9,0,9,0,0,0.2831,0.2831
KXXRP,12,12,0,12,0,0,0.2209,0.2209
KXXRP15M,12,12,9,3,0,0,0.2209,0.9281
KXXRPD,12,12,0,0,12,0,1.0,0.2209
KXYTDAILYTOPVIDEOG,43,43,7,36,0,0,0.0673,0.2841
KXYTTOPVIDEO2D,43,43,8,35,0,0,0.0673,0.3107
KXYTTOPVIDEOG2D,43,43,15,28,0,0,0.0673,0.4852
KXZEC15M,12,12,5,7,0,0,0.2209,0.6848
